year,department,y_HH
2014,13,492.30026
2014,14,422.64093
2014,15,829.82886
2014,16,420.80008
2014,17,891.25439
2014,18,811.14648
2014,19,311.26749
2014,20,424.42679
2014,21,356.47061
2014,22,483.3139
2014,23,664.53656
2014,24,537.15179
2014,25,449.83377
2015,1,354.58014
2015,2,448.59189
2015,3,332.70416
2015,4,693.60858
2015,5,335.60333
2015,6,316.8222
2015,7,700.78717
2015,8,416.72165
2015,9,237.18736
2015,10,365.09021
2015,11,620.44348
2015,12,476.96909
2015,13,503.86328
2015,14,459.19781
2015,15,889.58423
2015,16,456.98636
2015,17,774.61743
2015,18,771.95532
2015,19,301.96613
2015,20,402.19775
2015,21,309.59256
2015,22,466.44162
2015,23,653.58838
2015,24,570.11652
2015,25,520.81488
2016,1,380.24753
2016,2,475.50031
2016,3,322.4086
2016,4,733.8526
2016,5,359.45932
2016,6,320.74344
2016,7,740.63635
2016,8,478.77704
2016,9,241.27238
2016,10,349.2196
2016,11,643.112
2016,12,528.5188
2016,13,512.19385
2016,14,527.41449
2016,15,964.44543
2016,16,457.87836
2016,17,715.95709
2016,18,786.58282
2016,19,351.91116
2016,20,423.52716
2016,21,352.57529
2016,22,483.33591
2016,23,663.96869
2016,24,604.29248
2016,25,504.8017
2017,1,383.22076
2017,2,463.18607
2017,3,336.89514
2017,4,756.94653
2017,5,350.92358
2017,6,356.03122
2017,7,750.28186
2017,8,451.17911
2017,9,241.54314
2017,10,379.90811
2017,11,651.74194
2017,12,472.79416
2017,13,566.22424
2017,14,538.05511
2017,15,961.11133
2017,16,484.98785
2017,17,705.81885
2017,18,764.10449
2017,19,378.86273
2017,20,475.67911
2017,21,363.75159
2017,22,495.61804
2017,23,704.61963
2017,24,621.16785
2017,25,506.71158
2018,1,415.92032
2018,2,485.52731
2018,3,351.37283
2018,4,810.43054
2018,5,391.33185
2018,6,342.59528
2018,7,718.2973
2018,8,469.40814
2018,9,268.31625
2018,10,383.33194
2018,11,700.95648
2018,12,463.9422
2018,13,548.15741
2018,14,568.08936
2018,15,982.65106
2018,16,504.7702
2018,17,824.45959
2018,18,810.4826
2018,19,366.99615
2018,20,508.2915
2018,21,356.82217
2018,22,533.78308
2018,23,696.10321
2018,24,636.13678
2018,25,551.83838
2019,1,423.8746
2019,2,527.70007
2019,3,428.55139
2019,4,798.2113
2019,5,383.83249
2019,6,391.50214
2019,7,741.21924
2019,8,505.46149
2019,9,275.90421
2019,10,420.30112
2019,11,749.98096
2019,12,521.41498
2019,13,611.04022
2019,14,568.69781
2019,15,990.05383
2019,16,516.67078
2019,17,769.13971
2019,18,803.7644
2019,19,408.21045
2019,20,529.38025
2019,21,402.5376
2019,22,511.95068
2019,23,696.17932
2019,24,605.37659
2019,25,519.85004
2020,1,371.57733
2020,2,403.24951
2020,3,351.98386
2020,4,666.96057
2020,5,394.98337
2020,6,319.50696
2020,7,581.88379
2020,8,344.01526
2020,9,210.57352
2020,10,339.664
2020,11,657.83472
2020,12,426.38492
2020,13,463.8812
2020,14,537.32507
2020,15,754.2085
2020,16,431.12689
2020,17,613.21649
2020,18,726.19879
2020,19,281.03653
2020,20,420.39398
2020,21,323.45798
2020,22,388.79019
2020,23,572.82483
2020,24,473.7677
2020,25,503.27878
